Country,total_population,available_manpower,fit_for_service,reaching_military_age,active_service,active_reserves,paramilitary,aircraft_total,fighters_interceptors,attack_strike,transports_fixed_wing,trainer_fleets,special_mission,tanker_fleets,helicopter_fleets,attack_helicopters,tank_strengths,armored_fighting_vehicles,self_propelled_artillery,towed_artillery,rocket_projectors,naval_fleet_strength,fleet_tonnage_strength,aircraft_carriers,helicopter_carriers,submarines,destroyers,frigates,corvettes,coastal_patrol_craft,mine_warfare_craft,defense_budgets,external_debt,purchasing_power_parity,foreign_exchange_reserves,airports,labor_force_strength,major_ports_terminals,merchant_marine_strength,railway_coverage,roadway_coverage,oil_production,oil_consumption,proven_oil_reserves,natural_gas_production,natural_gas_consumption,proven_natural_gas_reserves,coal_production,coal_consumption,proven_coal_reserves,air_force_personnel,army_personnel,navy_personnel,total_military_personnel,yearly_mobilization_potential
Belarus,9501451.0,5035769.0,3724569.0,104516.0,63000.0,145000.0,55000.0,185.0,36.0,50.0,4.0,27.0,0.0,0.0,68.0,29.0,507.0,6916.0,357.0,215.0,206.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1077900000.0,44000000000.0,254407000000.0,,46.0,4956000.0,0.0,4.0,5528.0,86600.0,30000.0,131000.0,198000000.0,73929000.0,16683000000.0,2832000000.0,0.0,778000.0,0.0,11300.0,18000.0,0.0,263000.0,103197.0
Belgium,11977634.0,4910830.0,3880753.0,119776.0,25000.0,6400.0,0.0,108.0,43.0,0.0,7.0,38.0,0.0,0.0,20.0,0.0,0.0,4606.0,0.0,0.0,0.0,9.0,10190.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,5.0,10200000000.0,1449264300000.0,751592000000.0,,49.0,5432000.0,7.0,198.0,3602.0,118414.0,11000.0,585000.0,0.0,13436000.0,15347000000.0,0.0,1270000.0,4869000.0,4100000000.0,6500.0,12120.0,1300.0,31400.0,118264.0
Beliz,415789.0,158000.0,90226.0,8732.0,1650.0,850.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,130.0,0.0,0.0,0.0,8.0,,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,29538000.0,1248000000.0,5257000000.0,,27.0,190000.0,2.0,774.0,0.0,3281.0,800.0,5000.0,6700000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,0.0,2500.0,8622.0
Benin,14697052.0,5584880.0,3189260.0,308638.0,4750.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,92.0,0.0,16.0,0.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,98350000.0,4066500000.0,52510000000.0,,10.0,4964000.0,1.0,6.0,438.0,16000.0,0.0,46000.0,8000000.0,0.0,182131000.0,1133000000.0,0.0,45000.0,0.0,300.0,4300.0,200.0,4750.0,304742.0
Bhutan,884546.0,203446.0,122067.0,4423.0,7500.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14000000.0,2757000000.0,10981000000.0,,4.0,430000.0,0.0,0.0,0.0,12205.0,0.0,3000.0,0.0,0.0,0.0,0.0,177000.0,325000.0,0.0,0.0,4850.0,0.0,7500.0,4367.0
Bolivia,12311974.0,5417269.0,4112199.0,233928.0,40000.0,40000.0,0.0,64.0,0.0,0.0,15.0,19.0,0.0,0.0,33.0,0.0,54.0,890.0,0.0,106.0,0.0,67.0,,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,550200000.0,11431000000.0,119785000000.0,,200.0,6114000.0,0.0,50.0,3690.0,90568.0,58000.0,87000.0,240900000.0,13760000000.0,3055000000.0,302990000000.0,0.0,9000.0,1000000.0,20000.0,43000.0,4500.0,80000.0,230975.0
Bosnia and Herzegovina,3798671.0,2355176.0,1956316.0,49383.0,12770.0,6000.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,45.0,720.0,0.0,457.0,79.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216400000.0,7760500000.0,63769000000.0,,13.0,1369000.0,1.0,0.0,965.0,22926.0,0.0,36000.0,0.0,0.0,225824000.0,0.0,14114000.0,14766000.0,2264000000.0,2100.0,10000.0,0.0,18770.0,48760.0
Botswana,2450668.0,1029281.0,617568.0,24507.0,21000.0,0.0,0.0,45.0,11.0,0.0,9.0,9.0,0.0,0.0,16.0,0.0,45.0,1224.0,12.0,36.0,20.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,465600000.0,1853500000.0,46742000000.0,,122.0,1170000.0,0.0,0.0,888.0,31747.0,0.0,21000.0,0.0,0.0,0.0,0.0,2634000.0,2291000.0,1660000000.0,5000.0,8500.0,0.0,21000.0,24198.0
Brazil,220051512.0,112226271.0,88680759.0,3520824.0,360000.0,340000.0,200000.0,513.0,43.0,38.0,109.0,133.0,25.0,0.0,191.0,0.0,294.0,22464.0,109.0,412.0,38.0,64.0,135737.0,0.0,1.0,4.0,0.0,6.0,2.0,23.0,3.0,26157300000.0,432224000000.0,4016000000000.0,,4919.0,108695000.0,45.0,888.0,29850.0,2000000.0,4221000.0,3027000.0,12715000000.0,22670000000.0,31654000000.0,363985000000.0,15644000.0,32787000.0,6596000000.0,81000.0,1554000.0,80500.0,900000.0,3476376.0
Bulgaria,6782659.0,3187850.0,2611324.0,61044.0,37000.0,3000.0,0.0,65.0,10.0,5.0,6.0,21.0,0.0,0.0,27.0,4.0,90.0,4914.0,48.0,24.0,24.0,36.0,,0.0,0.0,0.0,0.0,4.0,3.0,0.0,10.0,1373232000.0,27138500000.0,214061000000.0,,111.0,3103000.0,2.0,78.0,4029.0,19512.0,4000.0,101000.0,15000000.0,20837000.0,2801000000.0,5663000000.0,35516000.0,35970000.0,2366000000.0,8500.0,17000.0,4450.0,40000.0,60273.0
Burkina Faso,23042199.0,8525614.0,6060098.0,368675.0,12000.0,0.0,4500.0,25.0,0.0,3.0,2.0,0.0,2.0,0.0,18.0,5.0,0.0,491.0,0.0,8.0,9.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81280000.0,3145000000.0,57152000000.0,,49.0,8577000.0,0.0,0.0,622.0,15304.0,0.0,36000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,7000.0,0.0,16500.0,364021.0
Cambodia,17063669.0,8190561.0,5733393.0,307146.0,221000.0,0.0,10000.0,25.0,0.0,0.0,4.0,0.0,0.0,0.0,21.0,0.0,644.0,3627.0,30.0,430.0,463.0,20.0,,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,860000000.0,13200000000.0,85900000000.0,,13.0,9175000.0,2.0,195.0,642.0,47263.0,0.0,73000.0,0.0,0.0,0.0,0.0,113000.0,2215000.0,0.0,8500.0,85000.0,2800.0,231000.0,303268.0
Cameroon,30966105.0,10528476.0,6224187.0,495458.0,40000.0,0.0,12500.0,35.0,0.0,0.0,6.0,6.0,2.0,0.0,21.0,0.0,0.0,430.0,18.0,52.0,20.0,51.0,,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,554952283.0,9506000000.0,138925000000.0,,37.0,11965000.0,7.0,198.0,987.0,77589.0,54000.0,40000.0,200000000.0,2595000000.0,877058000.0,135071000000.0,0.0,0.0,0.0,3500.0,20500.0,1000.0,52500.0,489203.0
Canada,38794813.0,16681770.0,13500595.0,426743.0,68000.0,27000.0,5500.0,351.0,66.0,0.0,28.0,95.0,33.0,6.0,145.0,0.0,74.0,21704.0,0.0,0.0,0.0,73.0,119637.0,0.0,0.0,4.0,0.0,12.0,0.0,24.0,0.0,41000000000.0,2337375700000.0,2238000000000.0,,1425.0,22110000.0,284.0,716.0,4942.0,1042300.0,5692000.0,2454000.0,170300000000.0,187686000000.0,130316000000.0,2067126000000.0,43024000.0,17138000.0,6582000000.0,15560.0,44000.0,16300.0,100500.0,421356.0
Central African Republic,5650957.0,2203873.0,1254512.0,101717.0,10000.0,0.0,1000.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45990000.0,666293000.0,5849000000.0,,43.0,2114000.0,0.0,0.0,0.0,24000.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,3000000.0,350.0,7500.0,0.0,11000.0,100433.0
Chad,19093595.0,6873694.0,3856906.0,381872.0,33250.0,0.0,5000.0,40.0,0.0,7.0,7.0,8.0,2.0,0.0,16.0,3.0,90.0,3316.0,10.0,10.0,20.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,381350000.0,2038000000.0,32446000000.0,,42.0,5806000.0,0.0,0.0,0.0,40000.0,124000.0,15000.0,1500000000.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0,30000.0,0.0,38250.0,377051.0
Chile,18664652.0,8959033.0,7521855.0,298634.0,80000.0,40000.0,50000.0,277.0,45.0,0.0,32.0,92.0,21.0,5.0,87.0,0.0,386.0,8832.0,48.0,249.0,8.0,130.0,176065.0,0.0,0.0,4.0,0.0,8.0,0.0,40.0,0.0,5032500000.0,214500000000.0,579201000000.0,,374.0,9848000.0,39.0,249.0,7282.0,77801.0,11000.0,405000.0,150000000.0,1200000000.0,6916000000.0,97976000000.0,499000.0,8637000.0,1181000000.0,12000.0,80000.0,25000.0,170000.0,294864.0
China,1415043270.0,764123366.0,626864169.0,19810606.0,2035000.0,510000.0,625000.0,3309.0,1212.0,371.0,289.0,402.0,112.0,10.0,913.0,281.0,6800.0,144017.0,3490.0,1000.0,2750.0,754.0,2857143.0,3.0,4.0,61.0,50.0,47.0,72.0,150.0,36.0,266850000000.0,1218458500000.0,31227000000000.0,,531.0,779246000.0,66.0,8314.0,150000.0,5200000.0,4984000.0,15148000.0,26023000000.0,225341000000.0,366160000000.0,6654000000000.0,4827000000.0,5313000000.0,143197000000.0,400000.0,2545000.0,380000.0,3170000.0,19560509.0
Colombia,49588357.0,24298295.0,19190694.0,843002.0,293200.0,35000.0,150000.0,436.0,16.0,24.0,86.0,72.0,23.0,1.0,257.0,0.0,0.0,3460.0,6.0,110.0,0.0,233.0,31090.0,0.0,0.0,4.0,0.0,7.0,2.0,217.0,0.0,10541500000.0,116779500000.0,978024000000.0,,662.0,26003000.0,14.0,153.0,2141.0,205379.0,800000.0,320000.0,2036000000.0,11290000000.0,11451000000.0,87782000000.0,58747000.0,7880000.0,4554000000.0,25000.0,2048583.0,35100.0,478200.0,832360.0
Croatia,4150116.0,2033557.0,1564594.0,53952.0,14325.0,20100.0,2000.0,67.0,10.0,0.0,0.0,28.0,0.0,0.0,37.0,0.0,45.0,2848.0,25.0,42.0,42.0,30.0,,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,1176000000.0,55000000000.0,159305000000.0,,40.0,1744000.0,16.0,384.0,2617.0,26958.0,11000.0,70000.0,71000000.0,741456000.0,2502000000.0,24919000000.0,0.0,702000.0,0.0,1260.0,7075.0,1365.0,36425.0,53271.0
Cuba,10966038.0,5921661.0,4737328.0,142558.0,45500.0,40000.0,1145000.0,31.0,11.0,0.0,4.0,3.0,0.0,0.0,13.0,4.0,113.0,6864.0,60.0,130.0,15.0,19.0,,0.0,0.0,0.0,0.0,1.0,1.0,6.0,4.0,4508784000.0,33066000000.0,141400000000.0,,123.0,5317000.0,34.0,65.0,8367.0,60000.0,34000.0,165000.0,124000000.0,659434000.0,659434000.0,70792000000.0,0.0,2000.0,0.0,7500.0,40000.0,3550.0,1230500.0,140758.0
Czechia,10837890.0,5093808.0,4129236.0,97541.0,28000.0,4200.0,0.0,99.0,12.0,16.0,10.0,17.0,2.0,0.0,42.0,4.0,43.0,6340.0,50.0,0.0,16.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6750000000.0,211200000000.0,519007000000.0,,243.0,5502000.0,0.0,0.0,9548.0,55744.0,4000.0,211000.0,15000000.0,224725000.0,7602000000.0,3964000000.0,37423000.0,40239000.0,3595000000.0,5000.0,13000.0,0.0,32200.0,96310.0
Democratic Republic of the Congo,115403027.0,39237029.0,31389623.0,2538867.0,166580.0,31000.0,10000.0,46.0,1.0,6.0,6.0,1.0,0.0,0.0,32.0,8.0,105.0,916.0,8.0,60.0,25.0,16.0,,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,796560000.0,4994000000.0,154012000000.0,,272.0,35983000.0,3.0,24.0,4007.0,152373.0,19000.0,26000.0,180000000.0,380000.0,380000.0,991090000.0,0.0,23000.0,987999000.0,4000.0,140000.0,6500.0,207580.0,2506815.0
Denmark,5973136.0,2628180.0,2126436.0,77651.0,20000.0,12000.0,51000.0,117.0,31.0,4.0,4.0,41.0,3.0,0.0,34.0,0.0,44.0,3856.0,19.0,0.0,8.0,50.0,121180.0,0.0,0.0,0.0,0.0,9.0,0.0,9.0,6.0,7225466250.0,555500000000.0,428385000000.0,,99.0,3180000.0,69.0,715.0,2682.0,74558.0,63000.0,152000.0,441000000.0,1879000000.0,2208000000.0,29534000000.0,0.0,1788000.0,0.0,3500.0,88400.0,3600.0,83000.0,76671.0
Dominican Republic,10815857.0,4975294.0,4034315.0,97343.0,50000.0,0.0,30000.0,79.0,0.0,8.0,11.0,17.0,1.0,0.0,50.0,0.0,5.0,540.0,0.0,11.0,0.0,34.0,,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,810800000.0,27500000000.0,261616000000.0,,32.0,5302000.0,17.0,40.0,496.0,19705.0,0.0,134000.0,0.0,0.0,2440000000.0,0.0,0.0,2188000.0,0.0,12500.0,28750.0,10000.0,80000.0,96114.0
Ecuador,18309984.0,8422593.0,6738074.0,329580.0,41250.0,118000.0,1500.0,102.0,0.0,0.0,20.0,34.0,8.0,0.0,46.0,0.0,54.0,5204.0,5.0,106.0,24.0,30.0,,0.0,0.0,2.0,0.0,2.0,6.0,5.0,0.0,2376000000.0,44898000000.0,260213000000.0,,310.0,8893000.0,6.0,154.0,965.0,43950.0,480000.0,225000.0,8273000000.0,309778000.0,309778000.0,10902000000.0,0.0,21000.0,24000000.0,6200.0,160500.0,9400.0,160750.0,325419.0
Egypt,111247248.0,45611372.0,38269053.0,1668709.0,440000.0,480000.0,300000.0,1093.0,238.0,90.0,61.0,345.0,11.0,0.0,348.0,100.0,3620.0,41012.0,1056.0,962.0,528.0,150.0,235989.0,0.0,2.0,8.0,0.0,13.0,7.0,62.0,17.0,5879500000.0,103750000000.0,1912000000000.0,,73.0,33431000.0,31.0,441.0,5085.0,65050.0,667000.0,851000.0,3300000000.0,64817000000.0,60089000000.0,1784000000000.0,289000.0,3083000.0,182000000.0,50000.0,685000.0,32500.0,1220000.0,1647643.0
El Salvador,6628702.0,3181777.0,2512278.0,145831.0,25000.0,10000.0,15000.0,52.0,0.0,15.0,4.0,10.0,0.0,0.0,30.0,0.0,0.0,1844.0,0.0,76.0,0.0,14.0,,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,334620000.0,14258000000.0,71957000000.0,,27.0,2870000.0,3.0,5.0,13.0,9012.0,3.0,58000.0,0.0,0.0,226472.0,0.0,0.0,500.0,0.0,2000.0,20500.0,2000.0,50000.0,143990.0
Eritrea,6343956.0,2220385.0,1598677.0,76127.0,120000.0,130000.0,0.0,20.0,1.0,0.0,5.0,1.0,0.0,0.0,13.0,6.0,65.0,860.0,23.0,75.0,22.0,23.0,,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,198000000.0,635504500.0,9702000000.0,,10.0,1800000.0,2.0,9.0,306.0,16000.0,0.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,550.0,90000.0,1000.0,250000.0,75166.0
Estonia,1193791.0,584958.0,456028.0,13132.0,7700.0,78800.0,10000.0,5.0,0.0,0.0,2.0,3.0,0.0,0.0,3.0,0.0,0.0,1685.0,36.0,0.0,0.0,8.0,,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1463360000.0,26400000000.0,57377000000.0,,26.0,752000.0,20.0,72.0,1441.0,58412.0,24000.0,28000.0,0.0,0.0,354912000.0,0.0,0.0,3000.0,0.0,1570.0,4000.0,500.0,96500.0,12966.0
Ethiopia,118550298.0,56904143.0,35327989.0,2726657.0,162000.0,0.0,0.0,103.0,25.0,0.0,8.0,34.0,0.0,0.0,33.0,7.0,338.0,7256.0,35.0,309.0,40.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2097575000.0,25761000000.0,354604000000.0,,57.0,61664000.0,0.0,12.0,659.0,120171.0,0.0,110000.0,428000.0,0.0,0.0,24919000000.0,8000.0,660000.0,0.0,5000.0,75000.0,10000.0,162000.0,2692235.0
Finland,5626414.0,2306830.0,1912981.0,56264.0,24000.0,870000.0,53800.0,163.0,54.0,0.0,11.0,77.0,1.0,0.0,27.0,0.0,200.0,11704.0,107.0,667.0,76.0,264.0,19434.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,18.0,6779661000.0,660000000000.0,321126000000.0,,98.0,2880000.0,37.0,282.0,5918.0,454000.0,8000.0,175000.0,0.0,0.0,1157000000.0,0.0,808000.0,4141000.0,0.0,41100.0,42000.0,16000.0,947800.0,55554.0
France,68374591.0,30084820.0,23794358.0,752121.0,200000.0,26000.0,150000.0,976.0,226.0,0.0,119.0,141.0,44.0,16.0,448.0,68.0,215.0,110932.0,96.0,0.0,9.0,129.0,428765.0,1.0,3.0,9.0,11.0,11.0,0.0,20.0,17.0,55000000000.0,6992104900000.0,3764000000000.0,,689.0,31825000.0,66.0,553.0,27860.0,1053215.0,80000.0,1554000.0,61719000.0,20132000.0,37001000000.0,7787000000.0,2419000.0,12985000.0,160000000.0,40500.0,141600.0,44000.0,376000.0,742626.0
Gabon,2455105.0,932940.0,532758.0,46647.0,4800.0,0.0,2500.0,24.0,6.0,0.0,3.0,0.0,0.0,0.0,15.0,0.0,0.0,424.0,0.0,0.0,14.0,5.0,,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,274820000.0,6280000000.0,48201000000.0,,40.0,763000.0,9.0,87.0,649.0,14300.0,204000.0,16000.0,2000000000.0,463000000.0,463000000.0,25995000000.0,0.0,0.0,0.0,1200.0,4500.0,400.0,7300.0,46058.0
Georgia,4900961.0,2744538.0,2225036.0,93118.0,55000.0,152500.0,0.0,61.0,0.0,5.0,2.0,10.0,0.0,0.0,44.0,11.0,123.0,3392.0,67.0,121.0,42.0,19.0,,0.0,0.0,0.0,0.0,0.0,0.0,31.0,4.0,495629055.0,13488000000.0,83656000000.0,,19.0,1853000.0,3.0,26.0,1363.0,20295.0,300.0,32000.0,35000000.0,8760000.0,2796000000.0,8495000000.0,256000.0,516000.0,900999000.0,2970.0,35000.0,0.0,207500.0,91942.0
Germany,84119100.0,38694786.0,30955829.0,841191.0,181600.0,34000.0,0.0,584.0,129.0,63.0,50.0,35.0,26.0,3.0,309.0,54.0,296.0,83260.0,134.0,0.0,33.0,61.0,228552.0,0.0,0.0,6.0,0.0,11.0,5.0,0.0,12.0,50000000000.0,6238609300000.0,5230000000000.0,,838.0,44784000.0,35.0,595.0,39379.0,830000.0,131000.0,2052000.0,115200000.0,4824000000.0,77516000000.0,23390000000.0,138981000.0,186725000.0,35900000000.0,27725.0,62800.0,16500.0,215600.0,830571.0
Ghana,34589092.0,14873310.0,9961658.0,622604.0,15500.0,0.0,0.0,19.0,0.0,0.0,2.0,5.0,2.0,0.0,10.0,0.0,0.0,1824.0,0.0,6.0,6.0,28.0,,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,308500000.0,22550000000.0,229639000000.0,,11.0,14887000.0,4.0,52.0,947.0,65725.0,174000.0,110000.0,660000000.0,3192000000.0,3912000000.0,22653000000.0,0.0,85000.0,0.0,3500.0,55000.0,1200.0,15500.0,614744.0
Greece,10461091.0,4916713.0,3985676.0,104611.0,142700.0,221350.0,55000.0,558.0,178.0,0.0,15.0,81.0,8.0,0.0,293.0,29.0,1344.0,61888.0,589.0,698.0,152.0,192.0,216348.0,0.0,0.0,10.0,0.0,13.0,0.0,39.0,7.0,6500000000.0,550000000000.0,375780000000.0,,81.0,4645000.0,57.0,1215.0,2345.0,117000.0,5000.0,303000.0,10000000.0,3284000.0,5173000000.0,991090000.0,13703000.0,13988000.0,2876000000.0,42500.0,200000.0,30000.0,419050.0,103290.0
Guatemala,18255216.0,7484639.0,6279794.0,182552.0,106114.0,90000.0,35000.0,36.0,0.0,4.0,10.0,0.0,0.0,0.0,21.0,0.0,5.0,688.0,0.0,50.0,0.0,25.0,,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,408635000.0,27500000000.0,223183000000.0,,58.0,7258000.0,3.0,9.0,800.0,17440.0,6000.0,115000.0,86110000.0,3276000.0,2986000.0,0.0,0.0,1296000.0,0.0,4000.0,65000.0,3200.0,231114.0,180247.0
