Country,Currency Name,Currency Code,ISO Code,Population 2018,Population 2019,Population 2020,Population 2021,Population 2022,Population 2023,Population 2024,Population 2025,GDP 2018,GDP 2019,GDP 2020,GDP 2021,GDP 2022,GDP 2023,GDP 2024,GDP 2025,GDP Growth 2018,GDP Growth 2019,GDP Growth 2020,GDP Growth 2021,GDP Growth 2022,GDP Growth 2023,GDP Growth 2024,GDP Growth 2025,GDP Per Capita 2018,GDP Per Capita 2019,GDP Per Capita 2020,GDP Per Capita 2021,GDP Per Capita 2022,GDP Per Capita 2023,GDP Per Capita 2024,GDP Per Capita 2025,Unemployment 2018,Unemployment 2019,Unemployment 2020,Unemployment 2021,Unemployment 2022,Unemployment 2023,Unemployment 2024,Unemployment 2025,Population Growth Rate 2018,Population Growth Rate 2019,Population Growth Rate 2020,Population Growth Rate 2021,Population Growth Rate 2022,Population Growth Rate 2023,Population Growth Rate 2024,Population Growth Rate 2025,Defense Expenditure (% of GDP) 2018,Defense Expenditure (% of GDP) 2019,Defense Expenditure (% of GDP) 2020,Defense Expenditure (% of GDP) 2021,Defense Expenditure (% of GDP) 2022,Defense Expenditure (% of GDP) 2023,Defense Expenditure (% of GDP) 2024,Defense Expenditure (% of GDP) 2025,Yearly Change,Net Change,Density (P/Km²),Land Area (Km²),Migrants (net),Fertility Rate,Median Age,Urban Pop %,World Share,Age Structure (0-14),Age Structure (15-64),Age Structure (65+),GDP (PPP),GDP (Official Exchange Rate),Inflation Rate,GDP Composition - Agriculture,GDP Composition - Industry,GDP Composition - Services,Life Expectancy (both),Life Expectancy (female),Life Expectancy (male),Religion 1,Religion 2,Religion 3,Religion 4,Religion 5,Religion 1 Percentage,Religion 2 Percentage,Religion 3 Percentage,Religion 4 Percentage,Religion 5 Percentage
Australia,Australian dollar,$,AUD,24963258,25334826,25649248,25685412,26014399,26658948,,,1427809041019.44,1392723834562.64,1328414058378.38,1556735770437.26,1690858246994.43,1728057316695.61,,,2.87846971467883,2.17154505737176,-0.119590735829973,2.11116814768786,4.24238555336139,3.44199220009025,,,57196.4220783778,54972.7017885437,51791.540179984,60607.7788605166,64997.0136536475,64820.9117890026,,,5.3,5.159,6.456,5.116,3.728,3.668,,,1.49599671041328,1.47749071058438,1.23342825131378,0.14089508329287,1.27269881377618,2.4474661688131,,,1.89568807978324,1.88096042981802,2.01065640494339,1.99027820211932,1.90833557385416,1.92219906285917,,,0.99,262081.0,3.0,7682300.0,138510.0,1.6,38.0,86.0,0.33,18.3,64.7,17.0,1.588,1.728,5.6,2.6,27.7,63.6,84.07,85.85,82.28,Catholic,,,,,20.0,,,,
Austria,Euro,€,EUR,8840521,8879920,8916864,8955797,9041851,9131761,,,452582294972.775,442983642371.842,434397601557.696,480467037338.783,471773629830.381,511685203845.001,,,2.48422086689928,1.7549764558533,-6.31825528670208,4.79532910551458,5.27789421203715,-0.954962366849259,,,51194.0749841299,49885.9947355204,48716.4098900349,53648.7190742245,52176.6649141178,56033.573792065,,,4.933,4.56,5.201,6.459,4.992,5.264,,,0.487071924768999,0.444673639004876,0.415176731565556,0.435671684056384,0.956287797076634,0.989464653969154,,,0.745028039648345,0.75035965749035,0.884127145088915,0.8736941368808,0.768528566154672,0.844274840737983,,,-0.11,-9616.0,111.0,82409.0,8813.0,1.3,43.0,58.0,0.11,14.1,64.7,21.2,593.703,511.685,7.81,1.3,25.2,63.3,82.12,84.45,79.75,Catholic,,,,,55.2,,,,
Azerbaijan,Azerbaijani manat,₼,AZN,9939771,10024283,10093121,10137750,10141756,10153958,,,47112470051.7701,48174235294.1176,42693000000,54825411764.7059,78807470588.2353,72356176470.5882,,,1.49999999999999,2.50000006743734,-4.30000010230737,5.61645102853028,4.71480236521231,1.12397432709641,,,4739.7943123408,4805.75371765917,4229.91064904503,5408.04535175023,7770.594223351,7125.90858368611,,,4.9,5,7.24,6.04,5.65,5.636,,,0.866316916370841,0.846646726414021,0.684365325388407,0.441197735816311,0.039507866238038,0.120242150339289,,,3.54929331269041,3.8490186357853,5.24152602506817,4.93051740712765,3.79953641226131,4.60210314808281,,,0.18,18370.0,125.0,82658.0,10864.0,1.7,33.0,58.0,0.13,,,,,,,,,,74.58,77.29,71.71,,,,,,,,,,
Burundi,Burundian franc,FBu,BIF,11859446,12255336,12617036,12965481,13321097,13689450,,,2667182199.51333,2576518879.82353,2649680261.44299,2775798697.46022,3338722827.65691,2642161668.85211,,,1.60993542127714,1.81256532401552,0.327156892638385,3.09999999870627,1.84899943948213,2.70000059705133,,,224.89939239264,210.236494521532,210.008139902508,214.091455416133,250.634225368744,193.007145564804,,,1.146,1.043,1.03,1.118,0.915,0.921,,,3.01898182778662,3.28367531420808,2.9086530249822,2.72425539520386,2.70585008916716,2.72764441044431,,,2.14941956621913,2.8078168112503,2.18591328366483,2.04300976329884,2.59829827539391,3.65892759114663,,,2.62,358336.0,547.0,25680.0,-27074.0,4.8,16.0,14.0,0.17,42.3,54.4,3.4,11.347,2.642,26.94,25.2,9.6,48.8,63.82,65.88,61.75,Catholic,,,,,93.9,,,,
Belgium,Euro,€,EUR,11427054,11488980,11538604,11586195,11680210,11787423,,,542638913427.921,536726344405.489,529694473501.791,598494036474.409,593438820508.173,644782756682.756,,,1.87796857219402,2.44289006648609,-4.79298389726264,6.20255401586081,4.2334318336917,1.25170063203595,,,47487.2100392561,46716.6227467964,45906.2875805246,51655.7883303715,50807.2047084918,54700.9093236712,,,5.941,5.364,5.545,6.248,5.57,5.528,,,0.455184695275022,0.540461327098122,0.430996815099722,0.411601996532257,0.808165350001861,0.913715890414841,,,0.891358084802809,0.888429380863306,1.01248470692312,1.03872662668212,1.18239642570098,1.21461599569106,,,0.22,25870.0,388.0,30280.0,36243.0,1.4,42.0,99.0,0.14,16.9,62.8,20.2,756.586,644.783,4.05,0.8,18.5,71.1,82.27,84.45,80.06,Catholic,,,,,57.1,,,,
Benin,West African CFA franc,F.CFA,XOF,12383347,12726755,13070169,13413417,13759501,14111034,,,14262408079.7014,14391686309.033,15651545208.8783,17690083519.9323,17401746309.2655,19676049075.7011,,,6.69725362180888,6.86568662848335,3.84879240030133,7.1554516457574,6.25324491401346,6.35282160914288,,,1151.74096952152,1130.82135304977,1197.50136428063,1318.83497843483,1264.70765976655,1394.37330217623,,,1.41,1.214,1.502,1.779,1.685,1.657,,,2.8136418840483,2.73538842831436,2.66259875153288,2.59230167510348,2.54740926342667,2.52274772277722,,,0.6328575401476,0.473313905552082,0.458762015150415,0.550883648806243,0.632087491743063,0.711202269909553,,,2.49,351690.0,128.0,112760.0,-7725.0,4.5,18.0,47.0,0.18,45.3,52.2,2.5,52.51,19.676,2.73,25.4,17.3,47.7,60.96,62.42,59.52,Catholic,,,,,27.7,,,,
Burkina Faso,West African CFA franc,F.CFA,XOF,20438288,20961952,21478690,21995243,22509038,23025776,,,15890066221.2882,16032813503.3707,17725010532.5268,19697516284.3787,18820218690.5948,20324617844.5265,,,6.60456906812341,5.88920497068135,2.01077262406221,6.94252492572348,1.4972397409897,2.96018147384929,,,777.465618514048,764.853077774946,825.237038782475,895.535288442991,836.118304593682,882.689810086163,,,4.695,4.71,5.04,5.2,5.389,5.348,,,2.69713675384815,2.52989803984158,2.43522959287393,2.37649218888363,2.30907147387783,2.26973666268599,,,1.92538455062898,2.2125520849195,2.13201807583334,2.32265667240954,2.97748651283525,4.00532688335591,,,2.27,523005.0,86.0,273600.0,-25807.0,4.1,17.0,33.0,0.29,41.6,55.1,3.2,57.152,20.325,0.74,16.3,29.3,43.6,61.29,63.43,59.11,Catholic,,,,,63.8,,,,
Bangladesh,Bangladeshi taka,৳,BDT,163523103,164913055,166298024,167658854,169384897,171466990,,,321362752441.78,351231654603.692,373979442362.193,416271647911.014,460131688909.301,437415331040.994,,,7.31941263014136,7.88191515117722,3.44801755122445,6.93867912442445,7.09982877575158,5.77511237007889,,,1965.24372731467,2129.79896954606,2248.85078828233,2482.84917843357,2716.48592677835,2551.01772674142,,,4.407,4.441,5.436,5.327,4.593,4.454,,,0.820955197842845,0.84641125179804,0.836310836229073,0.814977993693211,1.02423384746683,1.22171475464107,,,1.15395749092166,1.24410082330294,1.24468950875224,1.16873060016575,1.05198976442527,1.02281837589173,,,1.22,2095374.0,1333.0,130170.0,-473362.0,2.1,26.0,42.0,2.13,25.1,67.1,7.8,1.413,437.415,9.88,11.0,34.6,51.1,74.93,76.67,73.3,Muslim,,,,,91.0,,,,
Bulgaria,Bulgarian lev,lv.,BGN,7025037,6975761,6934015,6877743,6643324,6446596,,,66289266348.6504,68631726289.2794,70716821234.5967,84417951260.8091,90642851835.8996,102407653020.606,,,2.5494643471818,3.78885036478003,-3.21573743445016,7.78061481406978,4.03877758301681,1.88681483907177,,,9436.14479876055,9838.60058985384,10198.5388313404,12274.0775950496,13644.201582807,15885.5391311331,,,5.211,4.23,5.125,5.267,4.268,4.319,,,-0.722080405222853,-0.703905641117455,-0.60024151846542,-0.814846471528947,-3.46781051603393,-3.00602010787702,,,1.44929413825753,3.13356898891163,1.59346116571228,1.51749089579214,1.59228669627303,1.84737280288254,,,-0.56,-38114.0,62.0,108560.0,524.0,1.7,45.0,77.0,0.08,13.8,65.2,21.0,215.338,102.408,9.44,2.5,22.7,62.5,75.8,79.36,72.33,Muslim,,,,,64.7,,,,
Bahrain,Bahraini dinar,BD,BHD,1503091,1483756,1472204,1504365,1524693,1577059,,,39567978723.4043,40446808510.6383,35837632978.7234,40840212765.9574,46680398936.1702,46079867021.2766,,,2.05258864979861,2.05287774418655,-5.9113629524152,4.35004091668986,5.98130282177125,2.9807927665851,,,26324.4066549559,27259.7438599327,24342.8444554718,27147.8083882286,30616.2610677495,29218.8605634137,,,1.2,1.223,1.781,1.541,1.326,1.154,,,0.131482303617889,-1.29469437720599,-0.781611308056263,2.16102845934147,1.34221960637543,3.37686417721007,,,4.04108625299001,4.02986101554975,4.04564950980392,3.55388299692097,3.14569341444798,3.10846000977851,,,2.38,37383.0,2115.0,760.0,22699.0,1.8,33.0,,0.02,18.1,77.7,4.3,90.228,46.08,0.07,0.3,44.0,51.8,81.42,82.13,80.86,Jewish,,,,,74.2,,,,
Bahamas,N/A,N/A,N/A,392717,394675,395863,396373,397538,399440,,,12615800000,13016200000,9958200000,11368900000,13136400000,14338500000,,,2.62988985993933,-1.35726520928898,-21.4234630658488,15.4031489427848,10.7820132001503,2.63905598075102,,,32124.4051059669,32979.5401279534,25155.6725432789,28682.3270000732,33044.388209429,35896.50510715,,,10,9.336,12.027,11.032,9.272,8.643,,,0.569969444023085,0.497339072752345,0.300555038290333,0.128749531818761,0.293483989063331,0.477303918283875,,,,,,,,,,,0.46,1843.0,40.0,10010.0,1018.0,1.4,35.0,88.0,0.0,,,,,,,,,,74.71,78.33,71.06,,,,,,,,,,
Bosnia and Herzegovina,Bosnia and Herzegovina convertible mark,KM,BAM,3387000,3345533,3299349,3244907,3204802,3185073,,,20484053868.9246,20482608755.379,20226036564.4129,23672712242.2149,24534663636.1778,27514782476.0406,,,3.82749920546897,2.88734334414875,-3.01509514759861,7.38996234012757,4.22681101095546,2.21112447211205,,,6047.84584261133,6122.3753450882,6130.31133245161,7295.3438240957,7655.59421024383,8638.66620201187,,,18.4,15.692,15.868,14.897,12.657,10.668,,,-1.22313569369776,-1.23185506471358,-1.39008469041609,-1.66384860150923,-1.24363802761194,-0.617510129445164,,,0.84004735664614,0.807324224885322,0.827298283159884,0.742576774905168,0.679097727316253,0.80838231949892,,,-0.65,-20820.0,62.0,51000.0,-4497.0,1.5,45.0,56.0,0.04,,,,,,,,,,78.04,81.07,74.65,,,,,,,,,,
Belarus,Belarusian ruble,Br,BYN,9438785,9419758,9379952,9302585,9228071,9178298,,,60031173807.7196,64410122847.3508,61371755326.2351,69673747131.87,73775179924.603,71857382745.6066,,,3.14919759375005,1.44645547691826,-0.672742950624155,2.43886212396819,-4.65839591573591,3.88624214456901,,,6360.05310087258,6837.76832136779,6542.8645398436,7489.71894713888,7994.64806074889,7829.05313660622,,,4.763,4.165,4.049,3.9,3.574,3.461,,,-0.213824206997671,-0.201786600970723,-0.42347525027949,-0.82823272086807,-0.804228426880244,-0.540824986374776,,,1.53799428873681,1.39642297566801,1.40325859867166,1.36528926554311,1.64869313490861,1.79770336310455,,,-0.65,-58984.0,45.0,202910.0,-3119.0,1.2,41.0,84.0,0.11,16.1,66.1,17.8,254.407,71.857,5.0,7.3,32.5,47.8,74.62,79.22,69.74,Catholic,,,,,48.3,,,,
Belize,Belize dollar,$,BZD,380226,385829,390812,395346,402733,411106,,,2293250000,2388300000,2042850000,2420550000,2846700000,3066850000,,,1.11057125008675,4.26763689618086,-13.9029100645218,17.7461701205679,9.65297772389758,1.14901682065862,,,6031.28139580144,6190.04792278445,5227.19363786168,6122.61158580079,7068.45478269722,7459.99815132837,,,7.896,9.053,10.784,10.322,8.763,8.267,,,1.86459847610366,1.46284533510266,1.28323598131052,1.1534704907648,1.85124805102003,2.05772774277288,,,1.00824449263405,1.01069424875085,1.25112140600777,1.07170444831764,0.810341415259011,0.821928880066849,,,1.45,5966.0,18.0,22810.0,490.0,2.0,26.0,48.0,0.01,27.7,66.7,5.5,5.12,3.067,4.39,8.1,14.3,62.4,73.74,76.66,71.08,Catholic,,,,,40.1,,,,
Bermuda,Bermudian dollar,$,BMD,63831,64107,64382,64648,64749,64698,,,7225977000,7423465000,6887147000,7286607000,7827980000,8141700000,,,-0.432801300339307,0.306266735233933,-6.84286964270544,5.41909484048358,6.43113399633694,-0.0948235929642749,,,113204.82210838,115798.040775578,106973.175732348,112712.025120653,120897.311155385,125841.602522489,,,,,,,,,,,0.397146720463835,0.431459657274573,0.428052860400885,0.412307799470137,0.156108751379667,-0.0787967316952785,,,,,,,,,,,-0.1,-62.0,1293.0,50.0,-5.0,1.4,46.0,93.0,0.0,,,,,,,,,,,,,,,,,,,,,,
"Bolivia, Plurinational State of",N/A,N/A,N/A,11508368,11671386,11816299,11937360,12077154,12244159,,,40287647930.4761,40895322843.7851,36629843805.0216,40406111695.179,44008282877.9606,45135398008.8166,,,4.22362351118875,2.21670577750359,-8.73788443399127,6.11137275205746,3.60568038279472,3.08196524087036,,,3500.72642189371,3503.8960106182,3099.94219044572,3384.84486479247,3643.92826968677,3686.27996490544,,,3.519,3.682,7.903,5.089,3.552,3.024,,,1.43337090655267,1.40657823805422,1.23396442673807,1.01931284088344,1.16425907336882,1.37334382280772,,,1.49690260690782,1.45127092717043,1.39204744468967,1.32579943750687,0.973250888476219,1.38612164709346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Brazilian real,R$,BRL,206107261,207455459,208660842,209550294,210306415,211140729,,,1916933898038.36,1873288205186.45,1476107231194.11,1670647399034.67,1951923942083.32,2173665655937.27,,,1.783666761634,1.22077782360842,-3.2767587964736,4.76260437908608,3.01669435393015,2.90848048667777,,,9300.66164936497,9029.83326742175,7074.19378281866,7972.53665048385,9281.33334441234,10294.866680778,,,12.329,11.936,13.697,13.158,9.231,7.947,,,0.683439571425594,0.651994346081362,0.579350709708032,0.425360907216456,0.360180890872169,0.395928695574996,,,1.46967772350671,1.38279724638797,1.32666026860555,1.16368211072875,1.06984583971521,1.07876906016448,,,0.41,857844.0,25.0,8358140.0,-225510.0,1.6,34.0,91.0,2.6,19.6,69.5,10.9,4.016,2.174,4.59,6.2,22.3,58.9,76.02,79.15,72.95,Catholic,,,,,52.8,,,,
Barbados,Barbadian dollar,$,BBD,280711,281207,281698,282147,282318,282336,,,5629916200,5788288000,5168344450,5275242050,6257303500,6720733200,,,-1.17406509373819,0.652585417698418,-15.0543629495892,-0.254965880216531,17.8328630251327,4.09382010970572,,,20055.915870771,20583.7265786414,18347.1109131055,18696.7858952957,22164.0260273876,23804.0249914995,,,8.322,8.412,9.777,9.433,8.365,7.878,,,0.192553930005438,0.176538259610281,0.174452216457154,0.159263661079578,0.0605883465692588,0.00637558575909917,,,,,,,,,,,0.05,131.0,657.0,430.0,-70.0,1.7,39.0,32.0,0.0,16.6,67.0,16.3,5.428,6.721,9.79,1.9,13.2,75.4,76.33,78.76,73.75,Catholic,,,,,66.4,,,,
Brunei Darussalam,N/A,N/A,N/A,437810,442680,447404,451721,455370,458949,,,13566908401.1864,13469235348.2211,12005799664.2691,14006496614.3195,16681536442.5498,15128292980.8638,,,0.0523710544736673,3.86884416432889,1.13357340605403,-1.59076248075436,-1.62833154022366,1.40706832327938,,,30988.1190497851,30426.5730284202,26834.3592463839,31006.9636220576,36632.9280421411,32962.9065121916,,,8.7,6.6,7.409,4.905,5.191,5.183,,,1.15739958778106,1.10621350885567,1.06148281648515,0.96027430523198,0.804554269312164,0.782881746925984,,,2.63661248533021,3.07858724948281,3.63429176862407,3.23636748209722,2.61193002463948,2.96910709140811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,Bhutanese ngultrum,Nu,BTN,759759,764824,770006,775442,780914,786385,,,2583335721.20625,2735683570.28851,2457604334.15915,2768802959.60794,2898227743.13545,,,,3.50187183723874,5.75514850618227,-10.2183974073689,4.42136740220592,5.21386781145085,,,,3400.20417159422,3576.87987077877,3191.66907031782,3570.61257915864,3711.32767902157,,,,3.35,2.72,5.03,4.803,5.947,3.126,,,0.716471130925301,0.66444642692507,0.675256502719854,0.703488233671584,0.703183917780367,0.698146584889649,,,,,,,,,,,0.65,5139.0,21.0,38117.0,-277.0,1.4,30.0,49.0,0.01,23.1,70.2,6.7,,2.898,4.23,14.7,31.8,51.2,73.26,75.27,71.57,Hindu,,,,,75.3,,,,
Botswana,Botswana pula,P,BWP,2299141,2332083,2365894,2401441,2439892,2480244,,,17031943186.1353,16725908148.5481,14960291105.9316,18750946600.1423,20321958850.0363,19396084498.0084,,,4.18809355373698,3.0322025744566,-8.72875252639037,11.9206365085117,5.48602817797183,2.73379817032757,,,7407.95940141786,7172.08956480028,6323.31419156209,7808.20623956293,8329.04032229144,7820.23240375076,,,19.681,20.094,21.017,23.106,23.615,23.381,,,1.41898108514606,1.42262847077389,1.4394103578493,1.49130106425067,1.58848021878269,1.64031664035479,,,2.92475944543875,3.08122244554008,3.33478768726661,3.04556932426419,2.38212537208377,2.52982250302121,,,1.65,40895.0,4.0,566730.0,-5778.0,2.7,23.0,75.0,0.03,28.7,65.2,6.1,46.743,19.396,5.07,1.6,34.3,59.4,69.29,71.85,66.78,Muslim,,,,,79.1,,,,
